atk,def,format,hp,percentage,pokemon,pokemon_rank,rank,rule,season,slug,spa,spd,spe
0,0,single,0,0.9,雷丘,6,5,M-B,M-3,raichu,32,0,32
0,1,single,1,0.5,雷丘,6,6,M-B,M-3,raichu,32,0,32
2,0,single,0,0.5,雷丘,6,7,M-B,M-3,raichu,32,0,32
0,1,single,0,0.5,雷丘,6,8,M-B,M-3,raichu,32,1,32
0,0,single,32,0.3,雷丘,6,9,M-B,M-3,raichu,2,0,32
0,0,single,20,0.3,雷丘,6,10,M-B,M-3,raichu,14,0,32
32,0,single,2,32.3,姆克鹰,7,1,M-B,M-3,staraptor,0,0,32
32,1,single,1,9.9,姆克鹰,7,2,M-B,M-3,staraptor,0,0,32
2,0,single,32,9.4,姆克鹰,7,3,M-B,M-3,staraptor,0,0,32
3,0,single,31,8.0,姆克鹰,7,4,M-B,M-3,staraptor,0,0,32
32,2,single,0,3.5,姆克鹰,7,5,M-B,M-3,staraptor,0,0,32
32,0,single,0,2.9,姆克鹰,7,6,M-B,M-3,staraptor,0,2,32
32,0,single,1,2.3,姆克鹰,7,7,M-B,M-3,staraptor,0,1,32
32,0,single,32,1.9,姆克鹰,7,8,M-B,M-3,staraptor,0,0,2
0,3,single,31,1.4,姆克鹰,7,9,M-B,M-3,staraptor,0,0,32
32,0,single,0,1.3,姆克鹰,7,10,M-B,M-3,staraptor,0,0,32
0,0,single,2,41.5,喷火龙,8,1,M-B,M-3,charizard,32,0,32
32,0,single,2,12.0,喷火龙,8,2,M-B,M-3,charizard,0,0,32
0,2,single,0,4.7,喷火龙,8,3,M-B,M-3,charizard,32,0,32
0,12,single,14,3.0,喷火龙,8,4,M-B,M-3,charizard,21,0,19
0,20,single,12,2.5,喷火龙,8,5,M-B,M-3,charizard,16,0,18
0,20,single,32,2.4,喷火龙,8,6,M-B,M-3,charizard,11,0,3
0,0,single,0,2.3,喷火龙,8,7,M-B,M-3,charizard,32,2,32
0,23,single,32,1.7,喷火龙,8,8,M-B,M-3,charizard,11,0,0
30,0,single,4,1.4,喷火龙,8,9,M-B,M-3,charizard,0,0,32
30,2,single,6,1.4,喷火龙,8,10,M-B,M-3,charizard,0,1,27
0,32,single,32,53.4,钢铠鸦,9,1,M-B,M-3,corviknight,0,2,0
0,32,single,32,10.3,钢铠鸦,9,2,M-B,M-3,corviknight,0,0,2
0,18,single,32,3.2,钢铠鸦,9,3,M-B,M-3,corviknight,0,16,0
0,2,single,32,3.1,钢铠鸦,9,4,M-B,M-3,corviknight,0,32,0
2,32,single,32,2.9,钢铠鸦,9,5,M-B,M-3,corviknight,0,0,0
0,25,single,32,1.9,钢铠鸦,9,6,M-B,M-3,corviknight,0,9,0
0,32,single,32,1.8,钢铠鸦,9,7,M-B,M-3,corviknight,0,0,0
0,26,single,32,1.4,钢铠鸦,9,8,M-B,M-3,corviknight,0,8,0
0,32,single,32,1.4,钢铠鸦,9,9,M-B,M-3,corviknight,0,1,1
0,32,single,2,0.8,钢铠鸦,9,10,M-B,M-3,corviknight,0,32,0
0,2,single,32,28.7,河马兽,10,1,M-B,M-3,hippowdon,0,32,0
0,32,single,32,19.3,河马兽,10,2,M-B,M-3,hippowdon,0,2,0
0,12,single,32,6.3,河马兽,10,3,M-B,M-3,hippowdon,0,22,0
0,15,single,32,5.2,河马兽,10,4,M-B,M-3,hippowdon,0,19,0
0,22,single,32,4.2,河马兽,10,5,M-B,M-3,hippowdon,0,12,0
0,18,single,32,3.8,河马兽,10,6,M-B,M-3,hippowdon,0,16,0
2,32,single,32,2.6,河马兽,10,7,M-B,M-3,hippowdon,0,0,0
0,20,single,32,1.6,河马兽,10,8,M-B,M-3,hippowdon,0,14,0
0,13,single,32,1.5,河马兽,10,9,M-B,M-3,hippowdon,0,21,0
0,0,single,32,1.3,河马兽,10,10,M-B,M-3,hippowdon,0,32,0
32,0,single,2,44.8,火焰鸡,11,1,M-B,M-3,blaziken,0,0,32
32,0,single,16,7.9,火焰鸡,11,2,M-B,M-3,blaziken,0,0,18
32,0,single,10,7.2,火焰鸡,11,3,M-B,M-3,blaziken,0,0,24
32,2,single,0,4.3,火焰鸡,11,4,M-B,M-3,blaziken,0,0,32
32,0,single,0,2.6,火焰鸡,11,5,M-B,M-3,blaziken,0,2,32
32,0,single,0,1.9,火焰鸡,11,6,M-B,M-3,blaziken,0,0,32
32,1,single,0,1.7,火焰鸡,11,7,M-B,M-3,blaziken,0,1,32
32,1,single,18,1.1,火焰鸡,11,8,M-B,M-3,blaziken,0,1,14
20,0,single,20,1.0,火焰鸡,11,9,M-B,M-3,blaziken,0,1,25
32,0,single,32,1.0,火焰鸡,11,10,M-B,M-3,blaziken,0,0,2
0,0,single,2,22.6,九尾（阿罗拉）,12,1,M-B,M-3,ninetales-alola,32,0,32
0,9,single,31,6.8,九尾（阿罗拉）,12,2,M-B,M-3,ninetales-alola,0,0,26
0,0,single,32,5.5,九尾（阿罗拉）,12,3,M-B,M-3,ninetales-alola,2,0,32
0,1,single,1,5.5,九尾（阿罗拉）,12,4,M-B,M-3,ninetales-alola,32,0,32
0,2,single,0,3.5,九尾（阿罗拉）,12,5,M-B,M-3,ninetales-alola,32,0,32
0,2,single,32,3.2,九尾（阿罗拉）,12,6,M-B,M-3,ninetales-alola,0,0,32
0,26,single,31,2.9,九尾（阿罗拉）,12,7,M-B,M-3,ninetales-alola,0,0,9
0,3,single,31,2.8,九尾（阿罗拉）,12,8,M-B,M-3,ninetales-alola,0,0,32
0,0,single,0,2.4,九尾（阿罗拉）,12,9,M-B,M-3,ninetales-alola,32,2,32
0,0,single,31,1.5,九尾（阿罗拉）,12,10,M-B,M-3,ninetales-alola,3,0,32
32,0,single,2,41.8,巨沼怪,13,1,M-B,M-3,swampert,0,0,32
32,2,single,0,8.7,巨沼怪,13,2,M-B,M-3,swampert,0,0,32
0,32,single,32,7.5,巨沼怪,13,3,M-B,M-3,swampert,0,2,0
32,0,single,8,3.5,巨沼怪,13,4,M-B,M-3,swampert,0,0,26
32,0,single,0,3.4,巨沼怪,13,5,M-B,M-3,swampert,0,2,32
32,1,single,0,2.1,巨沼怪,13,6,M-B,M-3,swampert,0,1,32
0,30,single,32,1.9,巨沼怪,13,7,M-B,M-3,swampert,0,4,0
0,2,single,32,1.6,巨沼怪,13,8,M-B,M-3,swampert,0,32,0
32,0,single,32,1.5,巨沼怪,13,9,M-B,M-3,swampert,0,0,2
2,32,single,32,1.3,巨沼怪,13,10,M-B,M-3,swampert,0,0,0
32,0,single,2,58.9,幽尾玄鱼,14,1,M-B,M-3,basculegion,0,0,32
32,2,single,0,15.5,幽尾玄鱼,14,2,M-B,M-3,basculegion,0,0,32
32,1,single,0,5.3,幽尾玄鱼,14,3,M-B,M-3,basculegion,0,1,32
32,0,single,0,4.2,幽尾玄鱼,14,4,M-B,M-3,basculegion,0,2,32
32,0,single,0,2.0,幽尾玄鱼,14,5,M-B,M-3,basculegion,0,0,32
32,32,single,2,1.0,幽尾玄鱼,14,6,M-B,M-3,basculegion,0,0,0
32,1,single,1,0.7,幽尾玄鱼,14,7,M-B,M-3,basculegion,0,0,32
32,0,single,32,0.6,幽尾玄鱼,14,8,M-B,M-3,basculegion,0,0,2
32,0,single,1,0.6,幽尾玄鱼,14,9,M-B,M-3,basculegion,0,0,32
32,2,single,32,0.6,幽尾玄鱼,14,10,M-B,M-3,basculegion,0,0,0
0,0,single,32,15.1,西狮海壬,15,1,M-B,M-3,primarina,32,0,2
0,2,single,32,6.6,西狮海壬,15,2,M-B,M-3,primarina,32,0,0
0,0,single,32,5.1,西狮海壬,15,3,M-B,M-3,primarina,32,2,0
0,20,single,32,3.9,西狮海壬,15,4,M-B,M-3,primarina,14,0,0
0,10,single,32,3.9,西狮海壬,15,5,M-B,M-3,primarina,24,0,0
0,32,single,32,3.1,西狮海壬,15,6,M-B,M-3,primarina,2,0,0
0,0,single,2,2.7,西狮海壬,15,7,M-B,M-3,primarina,32,0,32
0,32,single,28,2.5,西狮海壬,15,8,M-B,M-3,primarina,0,1,5
0,32,single,32,2.3,西狮海壬,15,9,M-B,M-3,primarina,0,2,0
0,6,single,32,2.1,西狮海壬,15,10,M-B,M-3,primarina,24,0,4
32,0,single,2,23.0,暴鲤龙,16,1,M-B,M-3,gyarados,0,0,32
32,1,single,1,15.9,暴鲤龙,16,2,M-B,M-3,gyarados,0,0,32
11,21,single,31,3.7,暴鲤龙,16,3,M-B,M-3,gyarados,0,1,2
0,32,single,32,2.4,暴鲤龙,16,4,M-B,M-3,gyarados,0,2,0
2,32,single,32,2.1,暴鲤龙,16,5,M-B,M-3,gyarados,0,0,0
3,32,single,31,1.9,暴鲤龙,16,6,M-B,M-3,gyarados,0,0,0
5,28,single,31,1.8,暴鲤龙,16,7,M-B,M-3,gyarados,0,0,2
32,2,single,0,1.7,暴鲤龙,16,8,M-B,M-3,gyarados,0,0,32
32,0,single,1,1.7,暴鲤龙,16,9,M-B,M-3,gyarados,0,1,32
0,32,single,31,1.7,暴鲤龙,16,10,M-B,M-3,gyarados,0,3,0
0,0,single,2,70.5,三首恶龙,17,1,M-B,M-3,hydreigon,32,0,32
0,0,single,8,5.1,三首恶龙,17,2,M-B,M-3,hydreigon,32,0,26
0,2,single,0,4.7,三首恶龙,17,3,M-B,M-3,hydreigon,32,0,32
0,1,single,0,3.7,三首恶龙,17,4,M-B,M-3,hydreigon,32,1,32
0,0,single,0,3.5,三首恶龙,17,5,M-B,M-3,hydreigon,32,2,32
0,1,single,1,1.4,三首恶龙,17,6,M-B,M-3,hydreigon,32,0,32
0,0,single,0,1.3,三首恶龙,17,7,M-B,M-3,hydreigon,32,0,32
0,0,single,1,0.8,三首恶龙,17,8,M-B,M-3,hydreigon,32,0,32
0,0,single,0,0.6,三首恶龙,17,9,M-B,M-3,hydreigon,32,1,32
0,1,single,0,0.4,三首恶龙,17,10,M-B,M-3,hydreigon,32,0,32
0,1,single,1,43.0,晶光花,18,1,M-B,M-3,glimmora,32,0,32
0,0,single,2,20.7,晶光花,18,2,M-B,M-3,glimmora,32,0,32
0,0,single,1,9.5,晶光花,18,3,M-B,M-3,glimmora,32,1,32
0,2,single,0,2.9,晶光花,18,4,M-B,M-3,glimmora,32,0,32
0,0,single,0,2.4,晶光花,18,5,M-B,M-3,glimmora,32,2,32
0,0,single,0,1.9,晶光花,18,6,M-B,M-3,glimmora,32,0,32
0,0,single,1,1.0,晶光花,18,7,M-B,M-3,glimmora,32,0,32
0,1,single,0,0.9,晶光花,18,8,M-B,M-3,glimmora,32,1,32
0,2,single,32,0.7,晶光花,18,9,M-B,M-3,glimmora,0,32,0
0,2,single,32,0.7,晶光花,18,10,M-B,M-3,glimmora,0,0,32
0,32,single,32,13.6,清洗洛托姆,19,1,M-B,M-3,rotom-wash,0,2,0
0,10,single,32,11.4,清洗洛托姆,19,2,M-B,M-3,rotom-wash,0,24,0
0,32,single,32,7.8,清洗洛托姆,19,3,M-B,M-3,rotom-wash,1,1,0
0,32,single,32,7.5,清洗洛托姆,19,4,M-B,M-3,rotom-wash,2,0,0
0,0,single,2,5.9,清洗洛托姆,19,5,M-B,M-3,rotom-wash,32,0,32
0,32,single,32,4.0,清洗洛托姆,19,6,M-B,M-3,rotom-wash,0,0,2
0,0,single,32,2.9,清洗洛托姆,19,7,M-B,M-3,rotom-wash,32,0,2
0,0,single,32,2.0,清洗洛托姆,19,8,M-B,M-3,rotom-wash,9,0,25
0,2,single,32,1.9,清洗洛托姆,19,9,M-B,M-3,rotom-wash,32,0,0
0,2,single,32,1.4,清洗洛托姆,19,10,M-B,M-3,rotom-wash,0,32,0
0,0,single,2,36.9,快龙,20,1,M-B,M-3,dragonite,32,0,32
32,0,single,2,11.1,快龙,20,2,M-B,M-3,dragonite,0,0,32
0,1,single,1,5.4,快龙,20,3,M-B,M-3,dragonite,32,0,32
32,1,single,1,3.3,快龙,20,4,M-B,M-3,dragonite,0,0,32
0,0,single,32,2.3,快龙,20,5,M-B,M-3,dragonite,32,0,2
0,0,single,23,2.0,快龙,20,6,M-B,M-3,dragonite,32,0,11
0,1,single,31,1.8,快龙,20,7,M-B,M-3,dragonite,15,1,18
0,0,single,31,1.6,快龙,20,8,M-B,M-3,dragonite,15,0,20
0,0,single,9,1.4,快龙,20,9,M-B,M-3,dragonite,28,0,29
0,15,single,31,1.3,快龙,20,10,M-B,M-3,dragonite,20,0,0
0,32,single,32,22.3,大嘴鸥,21,1,M-B,M-3,pelipper,0,2,0
0,0,single,2,9.6,大嘴鸥,21,2,M-B,M-3,pelipper,32,0,32
0,32,single,32,7.4,大嘴鸥,21,3,M-B,M-3,pelipper,2,0,0
0,2,single,32,6.8,大嘴鸥,21,4,M-B,M-3,pelipper,32,0,0
0,30,single,32,6.1,大嘴鸥,21,5,M-B,M-3,pelipper,0,4,0
0,0,single,32,5.0,大嘴鸥,21,6,M-B,M-3,pelipper,32,2,0
0,0,single,32,2.8,大嘴鸥,21,7,M-B,M-3,pelipper,18,15,1
0,0,single,32,2.2,大嘴鸥,21,8,M-B,M-3,pelipper,32,0,2
0,9,single,32,2.0,大嘴鸥,21,9,M-B,M-3,pelipper,5,20,0
0,2,single,0,1.9,大嘴鸥,21,10,M-B,M-3,pelipper,32,0,32
0,32,single,32,25.0,长毛巨魔,22,1,M-B,M-3,grimmsnarl,0,2,0
0,25,single,31,4.6,长毛巨魔,22,2,M-B,M-3,grimmsnarl,0,10,0
32,12,single,21,3.9,长毛巨魔,22,3,M-B,M-3,grimmsnarl,0,0,1
0,32,single,31,3.5,长毛巨魔,22,4,M-B,M-3,grimmsnarl,0,3,0
32,2,single,32,2.8,长毛巨魔,22,5,M-B,M-3,grimmsnarl,0,0,0
0,19,single,32,2.7,长毛巨魔,22,6,M-B,M-3,grimmsnarl,0,15,0
0,15,single,31,2.7,长毛巨魔,22,7,M-B,M-3,grimmsnarl,0,20,0
0,25,single,32,2.2,长毛巨魔,22,8,M-B,M-3,grimmsnarl,0,9,0
0,2,single,32,2.2,长毛巨魔,22,9,M-B,M-3,grimmsnarl,0,32,0
0,15,single,31,2.0,长毛巨魔,22,10,M-B,M-3,grimmsnarl,0,17,3
0,0,single,2,26.7,妖火红狐,23,1,M-B,M-3,delphox,32,0,32
0,1,single,1,12.3,妖火红狐,23,2,M-B,M-3,delphox,32,0,32
0,0,single,5,5.1,妖火红狐,23,3,M-B,M-3,delphox,32,0,29
0,0,single,1,3.8,妖火红狐,23,4,M-B,M-3,delphox,32,1,32
0,2,single,0,3.6,妖火红狐,23,5,M-B,M-3,delphox,32,0,32
0,0,single,0,3.0,妖火红狐,23,6,M-B,M-3,delphox,32,2,32
0,3,single,1,2.1,妖火红狐,23,7,M-B,M-3,delphox,32,1,29
0,8,single,1,2.1,妖火红狐,23,8,M-B,M-3,delphox,28,0,29
0,4,single,1,2.1,妖火红狐,23,9,M-B,M-3,delphox,32,0,29
0,3,single,1,1.7,妖火红狐,23,10,M-B,M-3,delphox,32,0,30
0,0,single,2,24.8,赛富豪,24,1,M-B,M-3,gholdengo,32,0,32
0,1,single,1,9.9,赛富豪,24,2,M-B,M-3,gholdengo,32,0,32
0,0,single,32,4.7,赛富豪,24,3,M-B,M-3,gholdengo,32,0,2
0,25,single,31,3.9,赛富豪,24,4,M-B,M-3,gholdengo,0,0,10
0,0,single,1,3.4,赛富豪,24,5,M-B,M-3,gholdengo,32,1,32
0,2,single,0,2.9,赛富豪,24,6,M-B,M-3,gholdengo,32,0,32
0,0,single,0,2.6,赛富豪,24,7,M-B,M-3,gholdengo,32,2,32
0,32,single,31,2.0,赛富豪,24,8,M-B,M-3,gholdengo,0,0,3
0,0,single,7,1.7,赛富豪,24,9,M-B,M-3,gholdengo,32,0,27
0,2,single,32,1.7,赛富豪,24,10,M-B,M-3,gholdengo,32,0,0
32,0,single,32,40.1,仆斩将军,25,1,M-B,M-3,kingambit,0,0,2
32,2,single,32,12.7,仆斩将军,25,2,M-B,M-3,kingambit,0,0,0
32,0,single,32,10.0,仆斩将军,25,3,M-B,M-3,kingambit,0,2,0
32,0,single,2,3.6,仆斩将军,25,4,M-B,M-3,kingambit,0,0,32
32,32,single,2,2.0,仆斩将军,25,5,M-B,M-3,kingambit,0,0,0
32,0,single,10,1.9,仆斩将军,25,6,M-B,M-3,kingambit,0,0,24
32,2,single,0,1.4,仆斩将军,25,7,M-B,M-3,kingambit,0,0,32
32,1,single,32,1.3,仆斩将军,25,8,M-B,M-3,kingambit,0,1,0
32,32,single,0,1.3,仆斩将军,25,9,M-B,M-3,kingambit,0,2,0
32,0,single,32,1.0,仆斩将军,25,10,M-B,M-3,kingambit,0,0,0
32,2,single,32,28.8,大嘴娃,26,1,M-B,M-3,mawile,0,0,0
32,0,single,32,15.6,大嘴娃,26,2,M-B,M-3,mawile,0,2,0
32,0,single,32,8.3,大嘴娃,26,3,M-B,M-3,mawile,0,0,2
32,1,single,32,6.2,大嘴娃,26,4,M-B,M-3,mawile,0,1,0
32,0,single,30,5.0,大嘴娃,26,5,M-B,M-3,mawile,0,0,4
26,0,single,22,4.3,大嘴娃,26,6,M-B,M-3,mawile,0,0,18
27,0,single,16,4.0,大嘴娃,26,7,M-B,M-3,mawile,0,0,23
14,0,single,32,2.5,大嘴娃,26,8,M-B,M-3,mawile,0,0,20
32,0,single,16,1.5,大嘴娃,26,9,M-B,M-3,mawile,0,0,18
32,1,single,8,1.5,大嘴娃,26,10,M-B,M-3,mawile,0,1,24
0,32,single,32,34.2,骨纹巨声鳄,27,1,M-B,M-3,skeledirge,0,2,0
0,32,single,32,14.4,骨纹巨声鳄,27,2,M-B,M-3,skeledirge,2,0,0
0,32,single,32,5.4,骨纹巨声鳄,27,3,M-B,M-3,skeledirge,0,0,2
0,2,single,32,4.6,骨纹巨声鳄,27,4,M-B,M-3,skeledirge,0,32,0
0,32,single,32,1.8,骨纹巨声鳄,27,5,M-B,M-3,skeledirge,0,0,0
0,9,single,32,1.7,骨纹巨声鳄,27,6,M-B,M-3,skeledirge,0,25,0
0,2,single,32,1.6,骨纹巨声鳄,27,7,M-B,M-3,skeledirge,32,0,0
0,0,single,32,1.4,骨纹巨声鳄,27,8,M-B,M-3,skeledirge,32,2,0
0,30,single,32,1.4,骨纹巨声鳄,27,9,M-B,M-3,skeledirge,0,4,0
0,20,single,32,1.4,骨纹巨声鳄,27,10,M-B,M-3,skeledirge,0,14,0
0,0,single,2,68.8,耿鬼,28,1,M-B,M-3,gengar,32,0,32
0,2,single,0,4.5,耿鬼,28,2,M-B,M-3,gengar,32,0,32
0,0,single,0,2.9,耿鬼,28,3,M-B,M-3,gengar,32,2,32
0,0,single,30,1.6,耿鬼,28,4,M-B,M-3,gengar,12,1,23
0,0,single,32,1.5,耿鬼,28,5,M-B,M-3,gengar,2,0,32
0,0,single,0,1.4,耿鬼,28,6,M-B,M-3,gengar,32,0,32
0,0,single,24,1.2,耿鬼,28,7,M-B,M-3,gengar,10,1,31
0,2,single,32,1.0,耿鬼,28,8,M-B,M-3,gengar,0,0,32
0,0,single,14,1.0,耿鬼,28,9,M-B,M-3,gengar,20,0,32
0,0,single,24,1.0,耿鬼,28,10,M-B,M-3,gengar,10,0,32
0,2,single,32,19.7,毒藻龙,29,1,M-B,M-3,dragalge,0,32,0
0,17,single,32,8.7,毒藻龙,29,2,M-B,M-3,dragalge,0,17,0
0,0,single,32,6.0,毒藻龙,29,3,M-B,M-3,dragalge,2,32,0
0,2,single,32,5.7,毒藻龙,29,4,M-B,M-3,dragalge,32,0,0
0,32,single,32,4.6,毒藻龙,29,5,M-B,M-3,dragalge,0,2,0
0,18,single,31,4.0,毒藻龙,29,6,M-B,M-3,dragalge,0,17,0
0,0,single,32,3.4,毒藻龙,29,7,M-B,M-3,dragalge,32,2,0
0,3,single,31,2.7,毒藻龙,29,8,M-B,M-3,dragalge,0,32,0
0,32,single,31,2.4,毒藻龙,29,9,M-B,M-3,dragalge,3,0,0
0,32,single,32,2.1,毒藻龙,29,10,M-B,M-3,dragalge,2,0,0
32,1,single,32,17.5,坚盾剑怪,30,1,M-B,M-3,aegislash,0,1,0
32,2,single,32,9.6,坚盾剑怪,30,2,M-B,M-3,aegislash,0,0,0
32,0,single,32,7.3,坚盾剑怪,30,3,M-B,M-3,aegislash,0,0,2
32,0,single,32,6.9,坚盾剑怪,30,4,M-B,M-3,aegislash,0,2,0
0,0,single,32,4.8,坚盾剑怪,30,5,M-B,M-3,aegislash,32,2,0
2,0,single,32,3.8,坚盾剑怪,30,6,M-B,M-3,aegislash,32,0,0
32,0,single,2,2.6,坚盾剑怪,30,7,M-B,M-3,aegislash,0,0,32
26,0,single,32,2.5,坚盾剑怪,30,8,M-B,M-3,aegislash,0,0,8
30,1,single,32,2.5,坚盾剑怪,30,9,M-B,M-3,aegislash,0,1,2
0,3,single,32,1.9,坚盾剑怪,30,10,M-B,M-3,aegislash,11,20,0
0,0,single,2,60.3,甲贺忍蛙,31,1,M-B,M-3,greninja,32,0,32
0,2,single,0,7.8,甲贺忍蛙,31,2,M-B,M-3,greninja,32,0,32
0,0,single,0,4.7,甲贺忍蛙,31,3,M-B,M-3,greninja,32,2,32
0,1,single,0,4.5,甲贺忍蛙,31,4,M-B,M-3,greninja,32,1,32
0,0,single,0,2.1,甲贺忍蛙,31,5,M-B,M-3,greninja,32,0,32
2,0,single,0,2.0,甲贺忍蛙,31,6,M-B,M-3,greninja,32,0,32
0,0,single,8,1.0,甲贺忍蛙,31,7,M-B,M-3,greninja,32,0,26
0,0,single,6,0.8,甲贺忍蛙,31,8,M-B,M-3,greninja,32,0,28
0,0,single,14,0.8,甲贺忍蛙,31,9,M-B,M-3,greninja,32,1,19
32,0,single,2,0.6,甲贺忍蛙,31,10,M-B,M-3,greninja,0,0,32
32,2,single,32,21.6,巨钳螳螂,32,1,M-B,M-3,scizor,0,0,0
32,0,single,32,12.6,巨钳螳螂,32,2,M-B,M-3,scizor,0,0,2
32,0,single,32,9.4,巨钳螳螂,32,3,M-B,M-3,scizor,0,2,0
32,0,single,30,3.8,巨钳螳螂,32,4,M-B,M-3,scizor,0,0,4
32,0,single,2,3.4,巨钳螳螂,32,5,M-B,M-3,scizor,0,0,32
13,21,single,32,2.7,巨钳螳螂,32,6,M-B,M-3,scizor,0,0,0
2,32,single,32,2.1,巨钳螳螂,32,7,M-B,M-3,scizor,0,0,0
32,32,single,2,2.1,巨钳螳螂,32,8,M-B,M-3,scizor,0,0,0
32,0,single,12,2.0,巨钳螳螂,32,9,M-B,M-3,scizor,0,0,22
32,1,single,32,1.7,巨钳螳螂,32,10,M-B,M-3,scizor,0,1,0
32,0,single,2,36.6,大剑鬼（洗翠）,33,1,M-B,M-3,samurott-hisui,0,0,32
32,1,single,16,6.9,大剑鬼（洗翠）,33,2,M-B,M-3,samurott-hisui,0,7,10
32,2,single,20,6.1,大剑鬼（洗翠）,33,3,M-B,M-3,samurott-hisui,0,2,10
32,2,single,0,5.1,大剑鬼（洗翠）,33,4,M-B,M-3,samurott-hisui,0,0,32
