pokemon_rank,pokemon,slug,season,rule,format,panel,entry_rank,name,name_ja,percentage,type,category,power,accuracy
2,风妖精,whimsicott,M-3,M-B,double,natures,3,大胆,ずぶとい,5.7,,,,
2,风妖精,whimsicott,M-3,M-B,double,natures,4,温和,おだやか,3.1,,,,
2,风妖精,whimsicott,M-3,M-B,double,natures,5,冷静,れいせい,0.7,,,,
2,风妖精,whimsicott,M-3,M-B,double,natures,6,急躁,せっかち,0.3,,,,
2,风妖精,whimsicott,M-3,M-B,double,natures,7,慢吞吞,おっとり,0.3,,,,
2,风妖精,whimsicott,M-3,M-B,double,natures,8,爽朗,ようき,0.1,,,,
2,风妖精,whimsicott,M-3,M-B,double,natures,9,悠闲,のんき,0.1,,,,
2,风妖精,whimsicott,M-3,M-B,double,natures,10,自大,なまいき,0.1,,,,
2,风妖精,whimsicott,M-3,M-B,double,partners,1,烈咬陆鲨,ガブリアス,,,,,
2,风妖精,whimsicott,M-3,M-B,double,partners,2,幽尾玄鱼,イダイトウ(オス),,,,,
2,风妖精,whimsicott,M-3,M-B,double,partners,3,喷火龙,リザードン,,,,,
2,风妖精,whimsicott,M-3,M-B,double,partners,4,仆刀将军,ドドゲザン,,,,,
2,风妖精,whimsicott,M-3,M-B,double,partners,5,姆克鹰,ムクホーク,,,,,
2,风妖精,whimsicott,M-3,M-B,double,partners,6,炽焰咆哮虎,ガオガエン,,,,,
2,风妖精,whimsicott,M-3,M-B,double,partners,7,大狃拉,オオニューラ,,,,,
2,风妖精,whimsicott,M-3,M-B,double,partners,8,雷丘,ライチュウ,,,,,
2,风妖精,whimsicott,M-3,M-B,double,partners,9,赛富豪,サーフゴー,,,,,
2,风妖精,whimsicott,M-3,M-B,double,partners,10,仙子伊布,ニンフィア,,,,,
2,风妖精,whimsicott,M-3,M-B,double,spreads,1,,,58.1,,,,
2,风妖精,whimsicott,M-3,M-B,double,spreads,2,,,4.0,,,,
2,风妖精,whimsicott,M-3,M-B,double,spreads,3,,,3.7,,,,
2,风妖精,whimsicott,M-3,M-B,double,spreads,4,,,2.0,,,,
2,风妖精,whimsicott,M-3,M-B,double,spreads,5,,,1.8,,,,
2,风妖精,whimsicott,M-3,M-B,double,spreads,6,,,1.6,,,,
2,风妖精,whimsicott,M-3,M-B,double,spreads,7,,,1.6,,,,
2,风妖精,whimsicott,M-3,M-B,double,spreads,8,,,1.3,,,,
2,风妖精,whimsicott,M-3,M-B,double,spreads,9,,,1.2,,,,
2,风妖精,whimsicott,M-3,M-B,double,spreads,10,,,0.9,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,moves,1,扫墓,おはかまいり,99.9,ghost,physical,50,
3,幽尾玄鱼,basculegion,M-3,M-B,double,moves,2,水流喷射,アクアジェット,90.8,water,physical,40,
3,幽尾玄鱼,basculegion,M-3,M-B,double,moves,3,波动冲,ウェーブタックル,87.8,water,physical,120,
3,幽尾玄鱼,basculegion,M-3,M-B,double,moves,4,守住,まもる,55.1,normal,status,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,moves,5,快速折返,クイックターン,42.6,water,physical,60,
3,幽尾玄鱼,basculegion,M-3,M-B,double,moves,6,水流裂破,アクアブレイク,11.1,water,physical,85,
3,幽尾玄鱼,basculegion,M-3,M-B,double,moves,7,精神之牙,サイコファング,4.8,psychic,physical,85,
3,幽尾玄鱼,basculegion,M-3,M-B,double,moves,8,冰冻牙,こおりのキバ,2.0,ice,physical,65,
3,幽尾玄鱼,basculegion,M-3,M-B,double,moves,9,双刃头锤,もろはのずつき,1.2,rock,physical,150,
3,幽尾玄鱼,basculegion,M-3,M-B,double,moves,10,攀瀑,たきのぼり,0.8,water,physical,80,
3,幽尾玄鱼,basculegion,M-3,M-B,double,items,1,讲究围巾,こだわりスカーフ,41.9,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,items,2,神秘水滴,しんぴのしずく,21.4,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,items,3,生命宝珠,いのちのたま,17.1,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,items,4,气势披带,きあいのタスキ,12.0,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,items,5,文柚果,オボンのみ,4.4,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,items,6,力量头带,ちからのハチマキ,0.6,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,items,7,刺耳果,ナモのみ,0.6,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,items,8,先制之爪,せんせいのツメ,0.4,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,items,9,佛柑果,カシブのみ,0.3,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,items,10,诅咒之符,のろいのおふだ,0.3,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,abilities,1,适应力,てきおうりょく,92.1,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,abilities,2,悠游自如,すいすい,7.6,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,abilities,3,破格,かたやぶり,0.3,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,natures,1,固执,いじっぱり,60.1,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,natures,2,爽朗,ようき,37.1,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,natures,3,勇敢,ゆうかん,0.6,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,natures,4,顽皮,やんちゃ,0.5,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,natures,5,怕寂寞,さみしがり,0.5,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,natures,6,天真,むじゃき,0.3,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,natures,7,急躁,せっかち,0.3,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,natures,8,淘气,わんぱく,0.1,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,natures,9,慎重,しんちょう,0.1,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,natures,10,胆小,おくびょう,0.1,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,partners,1,风妖精,エルフーン,,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,partners,2,烈咬陆鲨,ガブリアス,,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,partners,3,仆刀将军,ドドゲザン,,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,partners,4,喷火龙,リザードン,,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,partners,5,大嘴鸥,ペリッパー,,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,partners,6,铝钢桥龙,ブリジュラス,,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,partners,7,仙子伊布,ニンフィア,,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,partners,8,来悲粗茶,ヤバソチャ,,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,partners,9,大狃拉,オオニューラ,,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,partners,10,炽焰咆哮虎,ガオガエン,,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,spreads,1,,,36.6,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,spreads,2,,,15.6,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,spreads,3,,,5.2,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,spreads,4,,,3.7,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,spreads,5,,,2.0,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,spreads,6,,,1.9,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,spreads,7,,,1.8,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,spreads,8,,,1.7,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,spreads,9,,,1.6,,,,
3,幽尾玄鱼,basculegion,M-3,M-B,double,spreads,10,,,1.5,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,moves,1,刷刷茶炮,シャカシャカほう,98.9,grass,special,80,
4,来悲粗茶,sinistcha,M-3,M-B,double,moves,2,愤怒粉,いかりのこな,96.2,bug,status,,
4,来悲粗茶,sinistcha,M-3,M-B,double,moves,3,戏法空间,トリックルーム,59.8,psychic,status,,
4,来悲粗茶,sinistcha,M-3,M-B,double,moves,4,生命水滴,いのちのしずく,54.0,water,status,,
4,来悲粗茶,sinistcha,M-3,M-B,double,moves,5,守住,まもる,52.1,normal,status,,
4,来悲粗茶,sinistcha,M-3,M-B,double,moves,6,吸取力量,ちからをすいとる,15.8,grass,status,,
4,来悲粗茶,sinistcha,M-3,M-B,double,moves,7,暗影球,シャドーボール,15.0,ghost,special,80,
4,来悲粗茶,sinistcha,M-3,M-B,double,moves,8,封印,ふういん,2.3,psychic,status,,
4,来悲粗茶,sinistcha,M-3,M-B,double,moves,9,热水,ねっとう,0.9,water,special,80,
4,来悲粗茶,sinistcha,M-3,M-B,double,moves,10,自我暗示,じこあんじ,0.7,normal,status,,
4,来悲粗茶,sinistcha,M-3,M-B,double,items,1,文柚果,オボンのみ,32.3,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,items,2,佛柑果,カシブのみ,24.6,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,items,3,吃剩的东西,たべのこし,13.3,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,items,4,棱瓜果,バコウのみ,8.1,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,items,5,刺耳果,ナモのみ,7.4,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,items,6,巧可果,オッカのみ,3.5,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,items,7,气势披带,きあいのタスキ,3.5,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,items,8,大根茎,おおきなねっこ,2.2,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,items,9,光粉,ひかりのこな,1.5,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,items,10,心灵香草,メンタルハーブ,0.8,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,abilities,1,款待,おもてなし,99.2,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,abilities,2,耐热,たいねつ,0.8,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,natures,1,大胆,ずぶとい,44.5,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,natures,2,温和,おだやか,23.3,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,natures,3,悠闲,のんき,11.2,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,natures,4,内敛,ひかえめ,8.4,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,natures,5,自大,なまいき,7.6,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,natures,6,冷静,れいせい,3.0,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,natures,7,胆小,おくびょう,1.3,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,natures,8,慢吞吞,おっとり,0.2,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,natures,9,温顺,おとなしい,0.1,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,natures,10,慎重,しんちょう,0.1,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,partners,1,大嘴鸥,ペリッパー,,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,partners,2,炽焰咆哮虎,ガオガエン,,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,partners,3,铝钢桥龙,ブリジュラス,,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,partners,4,巨沼怪,ラグラージ,,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,partners,5,长毛巨魔,オーロンゲ,,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,partners,6,姆克鹰,ムクホーク,,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,partners,7,烈咬陆鲨,ガブリアス,,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,partners,8,幽尾玄鱼,イダイトウ(オス),,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,partners,9,大狃拉,オオニューラ,,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,partners,10,风妖精,エルフーン,,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,spreads,1,,,19.1,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,spreads,2,,,9.7,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,spreads,3,,,5.1,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,spreads,4,,,4.4,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,spreads,5,,,3.4,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,spreads,6,,,3.0,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,spreads,7,,,2.7,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,spreads,8,,,2.6,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,spreads,9,,,2.0,,,,
4,来悲粗茶,sinistcha,M-3,M-B,double,spreads,10,,,1.8,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,moves,1,击掌奇袭,ねこだまし,99.3,normal,physical,40,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,moves,2,抛下狠话,すてゼリフ,93.8,dark,status,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,moves,3,闪焰冲锋,フレアドライブ,91.4,fire,physical,120,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,moves,4,ＤＤ金勾臂,DDラリアット,41.7,dark,physical,85,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,moves,5,深渊突刺,じごくづき,39.7,dark,physical,80,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,moves,6,守住,まもる,13.5,normal,status,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,moves,7,磷火,おにび,3.9,fire,status,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,moves,8,挑衅,ちょうはつ,3.6,dark,status,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,moves,9,近身战,インファイト,2.9,fighting,physical,120,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,moves,10,大声咆哮,バークアウト,2.3,dark,special,55,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,items,1,文柚果,オボンのみ,62.5,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,items,2,莲蒲果,ヨプのみ,10.7,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,items,3,千香果,イトケのみ,8.9,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,items,4,吃剩的东西,たべのこし,6.5,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,items,5,木炭,もくたん,2.5,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,items,6,腰木果,シュカのみ,2.2,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,items,7,生命宝珠,いのちのたま,1.5,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,items,8,白色香草,しろいハーブ,1.1,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,items,9,先制之爪,せんせいのツメ,0.9,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,items,10,气势披带,きあいのタスキ,0.5,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,abilities,1,威吓,いかく,99.5,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,abilities,2,猛火,もうか,0.5,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,natures,1,慎重,しんちょう,39.2,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,natures,2,固执,いじっぱり,22.9,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,natures,3,淘气,わんぱく,19.9,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,natures,4,勇敢,ゆうかん,5.9,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,natures,5,自大,なまいき,4.4,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,natures,6,爽朗,ようき,2.9,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,natures,7,悠闲,のんき,2.5,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,natures,8,顽皮,やんちゃ,0.5,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,natures,9,怕寂寞,さみしがり,0.4,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,natures,10,温和,おだやか,0.2,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,partners,1,来悲粗茶,ヤバソチャ,,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,partners,2,烈咬陆鲨,ガブリアス,,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,partners,3,风妖精,エルフーン,,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,partners,4,幽尾玄鱼,イダイトウ(オス),,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,partners,5,大狃拉,オオニューラ,,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,partners,6,喷火龙,リザードン,,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,partners,7,姆克鹰,ムクホーク,,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,partners,8,仆刀将军,ドドゲザン,,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,partners,9,奇麒麟,リキキリン,,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,partners,10,仙子伊布,ニンフィア,,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,spreads,1,,,9.1,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,spreads,2,,,3.6,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,spreads,3,,,3.2,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,spreads,4,,,2.7,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,spreads,5,,,2.3,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,spreads,6,,,2.1,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,spreads,7,,,1.8,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,spreads,8,,,1.7,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,spreads,9,,,1.5,,,,
5,炽焰咆哮虎,incineroar,M-3,M-B,double,spreads,10,,,1.3,,,,
6,仆斩将军,kingambit,M-3,M-B,double,moves,1,突袭,ふいうち,98.5,dark,physical,70,
6,仆斩将军,kingambit,M-3,M-B,double,moves,2,仆刀,ドゲザン,95.3,dark,physical,85,
6,仆斩将军,kingambit,M-3,M-B,double,moves,3,铁头,アイアンヘッド,83.2,steel,physical,80,
6,仆斩将军,kingambit,M-3,M-B,double,moves,4,守住,まもる,70.1,normal,status,,
6,仆斩将军,kingambit,M-3,M-B,double,moves,5,踢倒,けたぐり,34.2,fighting,physical,1,
6,仆斩将军,kingambit,M-3,M-B,double,moves,6,剑舞,つるぎのまい,11.1,normal,status,,
6,仆斩将军,kingambit,M-3,M-B,double,moves,7,劈瓦,かわらわり,3.8,fighting,physical,75,
6,仆斩将军,kingambit,M-3,M-B,double,moves,8,下盘踢,ローキック,0.8,fighting,physical,65,
6,仆斩将军,kingambit,M-3,M-B,double,moves,9,尖石攻击,ストーンエッジ,0.3,rock,physical,100,
6,仆斩将军,kingambit,M-3,M-B,double,moves,10,毒击,どくづき,0.3,poison,physical,80,
6,仆斩将军,kingambit,M-3,M-B,double,items,1,莲蒲果,ヨプのみ,36.0,,,,
6,仆斩将军,kingambit,M-3,M-B,double,items,2,黑色眼镜,くろいメガネ,32.3,,,,
6,仆斩将军,kingambit,M-3,M-B,double,items,3,气势披带,きあいのタスキ,11.4,,,,
6,仆斩将军,kingambit,M-3,M-B,double,items,4,生命宝珠,いのちのたま,9.8,,,,
6,仆斩将军,kingambit,M-3,M-B,double,items,5,巧可果,オッカのみ,3.8,,,,
