atk,def,format,hp,percentage,pokemon,pokemon_rank,rank,rule,season,slug,spa,spd,spe
0,2,double,16,4.2,雷丘,15,4,M-B,M-3,raichu,24,0,24
0,13,double,30,1.7,雷丘,15,5,M-B,M-3,raichu,0,0,23
0,0,double,0,1.6,雷丘,15,6,M-B,M-3,raichu,32,2,32
0,22,double,32,1.3,雷丘,15,7,M-B,M-3,raichu,0,4,8
0,17,double,17,1.3,雷丘,15,8,M-B,M-3,raichu,0,0,32
0,0,double,0,1.2,雷丘,15,9,M-B,M-3,raichu,32,0,32
0,2,double,32,1.1,雷丘,15,10,M-B,M-3,raichu,0,0,32
0,19,double,32,13.7,长毛巨魔,16,1,M-B,M-3,grimmsnarl,0,15,0
0,20,double,32,7.7,长毛巨魔,16,2,M-B,M-3,grimmsnarl,0,14,0
0,16,double,32,4.9,长毛巨魔,16,3,M-B,M-3,grimmsnarl,0,18,0
0,32,double,32,4.5,长毛巨魔,16,4,M-B,M-3,grimmsnarl,0,2,0
0,15,double,32,4.0,长毛巨魔,16,5,M-B,M-3,grimmsnarl,0,19,0
0,17,double,32,3.9,长毛巨魔,16,6,M-B,M-3,grimmsnarl,0,17,0
0,20,double,31,3.3,长毛巨魔,16,7,M-B,M-3,grimmsnarl,0,15,0
0,25,double,32,2.3,长毛巨魔,16,8,M-B,M-3,grimmsnarl,0,9,0
0,2,double,32,2.0,长毛巨魔,16,9,M-B,M-3,grimmsnarl,0,32,0
0,32,double,2,1.9,长毛巨魔,16,10,M-B,M-3,grimmsnarl,0,32,0
32,0,double,2,28.8,巨金怪,17,1,M-B,M-3,metagross,0,0,32
27,3,double,8,4.8,巨金怪,17,2,M-B,M-3,metagross,0,0,28
27,0,double,14,4.8,巨金怪,17,3,M-B,M-3,metagross,0,0,25
32,0,double,0,4.1,巨金怪,17,4,M-B,M-3,metagross,0,2,32
32,0,double,32,3.6,巨金怪,17,5,M-B,M-3,metagross,0,2,0
32,0,double,9,3.2,巨金怪,17,6,M-B,M-3,metagross,0,0,25
23,1,double,10,3.1,巨金怪,17,7,M-B,M-3,metagross,0,0,32
32,2,double,0,2.7,巨金怪,17,8,M-B,M-3,metagross,0,0,32
32,0,double,32,2.4,巨金怪,17,9,M-B,M-3,metagross,0,0,2
32,2,double,32,1.9,巨金怪,17,10,M-B,M-3,metagross,0,0,0
32,0,double,2,50.3,化石翼龙,18,1,M-B,M-3,aerodactyl,0,0,32
32,2,double,0,7.1,化石翼龙,18,2,M-B,M-3,aerodactyl,0,0,32
12,0,double,22,6.2,化石翼龙,18,3,M-B,M-3,aerodactyl,0,0,32
32,0,double,0,5.0,化石翼龙,18,4,M-B,M-3,aerodactyl,0,2,32
17,0,double,15,3.3,化石翼龙,18,5,M-B,M-3,aerodactyl,0,5,29
32,0,double,0,2.1,化石翼龙,18,6,M-B,M-3,aerodactyl,0,0,32
10,2,double,22,1.6,化石翼龙,18,7,M-B,M-3,aerodactyl,0,0,32
15,0,double,8,1.6,化石翼龙,18,8,M-B,M-3,aerodactyl,0,11,32
32,1,double,0,1.2,化石翼龙,18,9,M-B,M-3,aerodactyl,0,1,32
14,0,double,15,1.1,化石翼龙,18,10,M-B,M-3,aerodactyl,0,5,32
0,0,double,2,36.5,赛富豪,19,1,M-B,M-3,gholdengo,32,0,32
0,2,double,32,6.7,赛富豪,19,2,M-B,M-3,gholdengo,10,3,19
0,0,double,0,4.1,赛富豪,19,3,M-B,M-3,gholdengo,32,2,32
0,2,double,3,3.4,赛富豪,19,4,M-B,M-3,gholdengo,29,0,32
0,2,double,0,3.3,赛富豪,19,5,M-B,M-3,gholdengo,32,0,32
0,0,double,3,3.2,赛富豪,19,6,M-B,M-3,gholdengo,31,0,32
0,0,double,32,2.3,赛富豪,19,7,M-B,M-3,gholdengo,32,2,0
0,0,double,32,2.2,赛富豪,19,8,M-B,M-3,gholdengo,32,0,2
0,2,double,32,1.6,赛富豪,19,9,M-B,M-3,gholdengo,32,0,0
0,0,double,15,1.6,赛富豪,19,10,M-B,M-3,gholdengo,32,0,19
0,0,double,32,41.6,煤炭龟,20,1,M-B,M-3,torkoal,32,2,0
0,1,double,32,14.5,煤炭龟,20,2,M-B,M-3,torkoal,32,1,0
0,2,double,32,14.0,煤炭龟,20,3,M-B,M-3,torkoal,32,0,0
0,1,double,31,3.3,煤炭龟,20,4,M-B,M-3,torkoal,15,19,0
0,32,double,2,2.6,煤炭龟,20,5,M-B,M-3,torkoal,32,0,0
0,0,double,2,2.0,煤炭龟,20,6,M-B,M-3,torkoal,32,32,0
0,0,double,32,1.7,煤炭龟,20,7,M-B,M-3,torkoal,32,0,0
0,32,double,0,1.7,煤炭龟,20,8,M-B,M-3,torkoal,32,2,0
0,2,double,0,1.6,煤炭龟,20,9,M-B,M-3,torkoal,32,32,0
0,0,double,32,1.0,煤炭龟,20,10,M-B,M-3,torkoal,32,1,0
0,9,double,32,27.7,勾魂眼,21,1,M-B,M-3,sableye,0,25,0
0,2,double,32,13.5,勾魂眼,21,2,M-B,M-3,sableye,0,32,0
0,15,double,32,7.4,勾魂眼,21,3,M-B,M-3,sableye,0,19,0
0,32,double,32,4.8,勾魂眼,21,4,M-B,M-3,sableye,0,2,0
0,7,double,32,4.3,勾魂眼,21,5,M-B,M-3,sableye,0,27,0
0,17,double,32,4.0,勾魂眼,21,6,M-B,M-3,sableye,0,17,0
0,32,double,2,3.9,勾魂眼,21,7,M-B,M-3,sableye,0,32,0
0,19,double,32,2.2,勾魂眼,21,8,M-B,M-3,sableye,0,15,0
0,12,double,32,2.0,勾魂眼,21,9,M-B,M-3,sableye,0,22,0
0,18,double,32,1.9,勾魂眼,21,10,M-B,M-3,sableye,0,16,0
0,0,double,2,30.8,花叶蒂,22,1,M-B,M-3,floette,32,0,32
0,2,double,0,6.8,花叶蒂,22,2,M-B,M-3,floette,32,0,32
0,19,double,10,5.1,花叶蒂,22,3,M-B,M-3,floette,5,0,32
0,1,double,8,5.0,花叶蒂,22,4,M-B,M-3,floette,25,0,32
0,25,double,4,3.1,花叶蒂,22,5,M-B,M-3,floette,5,0,32
0,12,double,10,1.9,花叶蒂,22,6,M-B,M-3,floette,21,0,23
0,3,double,16,1.9,花叶蒂,22,7,M-B,M-3,floette,25,0,22
0,0,double,9,1.3,花叶蒂,22,8,M-B,M-3,floette,25,0,32
0,2,double,32,1.3,花叶蒂,22,9,M-B,M-3,floette,32,0,0
0,1,double,1,1.3,花叶蒂,22,10,M-B,M-3,floette,32,0,32
32,0,double,32,49.1,大嘴娃,23,1,M-B,M-3,mawile,0,2,0
32,2,double,32,13.4,大嘴娃,23,2,M-B,M-3,mawile,0,0,0
19,0,double,32,4.2,大嘴娃,23,3,M-B,M-3,mawile,0,0,15
32,1,double,32,2.8,大嘴娃,23,4,M-B,M-3,mawile,0,1,0
32,0,double,26,2.7,大嘴娃,23,5,M-B,M-3,mawile,0,0,8
32,0,double,32,1.6,大嘴娃,23,6,M-B,M-3,mawile,0,0,2
6,4,double,32,1.4,大嘴娃,23,7,M-B,M-3,mawile,0,23,1
32,0,double,32,1.3,大嘴娃,23,8,M-B,M-3,mawile,0,0,0
25,0,double,32,1.0,大嘴娃,23,9,M-B,M-3,mawile,0,9,0
32,32,double,2,0.9,大嘴娃,23,10,M-B,M-3,mawile,0,0,0
0,0,double,2,31.3,妙蛙花,24,1,M-B,M-3,venusaur,32,0,32
0,2,double,0,3.5,妙蛙花,24,2,M-B,M-3,venusaur,32,0,32
0,0,double,0,3.4,妙蛙花,24,3,M-B,M-3,venusaur,32,2,32
0,19,double,32,3.3,妙蛙花,24,4,M-B,M-3,venusaur,0,12,3
0,7,double,32,3.1,妙蛙花,24,5,M-B,M-3,venusaur,18,0,9
0,2,double,32,3.0,妙蛙花,24,6,M-B,M-3,venusaur,32,0,0
0,0,double,32,2.8,妙蛙花,24,7,M-B,M-3,venusaur,32,0,2
0,0,double,20,2.7,妙蛙花,24,8,M-B,M-3,venusaur,31,0,15
0,1,double,32,2.4,妙蛙花,24,9,M-B,M-3,venusaur,14,0,19
0,0,double,32,1.8,妙蛙花,24,10,M-B,M-3,venusaur,32,2,0
32,0,double,2,23.7,班基拉斯,25,1,M-B,M-3,tyranitar,0,0,32
32,0,double,32,9.4,班基拉斯,25,2,M-B,M-3,tyranitar,0,2,0
32,2,double,32,7.8,班基拉斯,25,3,M-B,M-3,tyranitar,0,0,0
32,0,double,32,3.4,班基拉斯,25,4,M-B,M-3,tyranitar,0,0,2
32,32,double,2,2.0,班基拉斯,25,5,M-B,M-3,tyranitar,0,0,0
26,1,double,27,1.8,班基拉斯,25,6,M-B,M-3,tyranitar,0,0,12
16,1,double,30,1.8,班基拉斯,25,7,M-B,M-3,tyranitar,0,2,17
32,0,double,32,1.4,班基拉斯,25,8,M-B,M-3,tyranitar,0,0,0
32,1,double,0,1.4,班基拉斯,25,9,M-B,M-3,tyranitar,0,1,32
32,0,double,0,1.2,班基拉斯,25,10,M-B,M-3,tyranitar,0,2,32
0,0,double,2,52.3,快龙,26,1,M-B,M-3,dragonite,32,0,32
32,0,double,2,8.9,快龙,26,2,M-B,M-3,dragonite,0,0,32
0,0,double,32,2.7,快龙,26,3,M-B,M-3,dragonite,32,0,2
0,1,double,1,1.7,快龙,26,4,M-B,M-3,dragonite,32,0,32
0,2,double,32,1.4,快龙,26,5,M-B,M-3,dragonite,32,0,0
32,0,double,32,1.4,快龙,26,6,M-B,M-3,dragonite,0,0,2
0,0,double,11,1.1,快龙,26,7,M-B,M-3,dragonite,32,0,23
32,0,double,21,1.0,快龙,26,8,M-B,M-3,dragonite,0,0,13
32,2,double,32,0.8,快龙,26,9,M-B,M-3,dragonite,0,0,0
0,2,double,0,0.7,快龙,26,10,M-B,M-3,dragonite,32,0,32
0,32,double,32,9.3,美纳斯,27,1,M-B,M-3,milotic,0,2,0
0,2,double,32,6.5,美纳斯,27,2,M-B,M-3,milotic,32,0,0
0,32,double,32,3.5,美纳斯,27,3,M-B,M-3,milotic,2,0,0
0,27,double,32,3.3,美纳斯,27,4,M-B,M-3,milotic,0,5,2
0,0,double,32,3.0,美纳斯,27,5,M-B,M-3,milotic,32,2,0
0,21,double,31,2.2,美纳斯,27,6,M-B,M-3,milotic,1,12,1
0,0,double,32,2.1,美纳斯,27,7,M-B,M-3,milotic,32,0,2
0,32,double,2,2.0,美纳斯,27,8,M-B,M-3,milotic,32,0,0
0,2,double,32,1.7,美纳斯,27,9,M-B,M-3,milotic,0,32,0
0,21,double,32,1.7,美纳斯,27,10,M-B,M-3,milotic,10,1,2
32,0,double,2,24.4,一家鼠,28,1,M-B,M-3,maushold,0,0,32
0,2,double,32,15.7,一家鼠,28,2,M-B,M-3,maushold,0,0,32
0,1,double,32,4.7,一家鼠,28,3,M-B,M-3,maushold,0,1,32
0,20,double,32,4.7,一家鼠,28,4,M-B,M-3,maushold,0,14,0
32,2,double,0,3.6,一家鼠,28,5,M-B,M-3,maushold,0,0,32
0,0,double,32,2.9,一家鼠,28,6,M-B,M-3,maushold,0,2,32
32,0,double,0,2.0,一家鼠,28,7,M-B,M-3,maushold,0,2,32
32,1,double,0,2.0,一家鼠,28,8,M-B,M-3,maushold,0,1,32
32,0,double,0,1.5,一家鼠,28,9,M-B,M-3,maushold,0,0,32
0,32,double,32,1.4,一家鼠,28,10,M-B,M-3,maushold,0,2,0
0,0,double,2,43.8,雪妖女,29,1,M-B,M-3,froslass,32,0,32
0,0,double,0,5.8,雪妖女,29,2,M-B,M-3,froslass,32,2,32
0,2,double,0,5.7,雪妖女,29,3,M-B,M-3,froslass,32,0,32
0,0,double,32,5.0,雪妖女,29,4,M-B,M-3,froslass,2,0,32
0,1,double,12,2.7,雪妖女,29,5,M-B,M-3,froslass,20,1,32
0,0,double,0,2.1,雪妖女,29,6,M-B,M-3,froslass,32,0,32
0,15,double,32,1.1,雪妖女,29,7,M-B,M-3,froslass,1,0,18
0,2,double,32,1.1,雪妖女,29,8,M-B,M-3,froslass,32,0,0
0,0,double,32,1.1,雪妖女,29,9,M-B,M-3,froslass,32,0,2
0,0,double,24,0.9,雪妖女,29,10,M-B,M-3,froslass,8,4,30
0,0,double,2,14.0,清洗洛托姆,30,1,M-B,M-3,rotom-wash,32,0,32
0,0,double,32,5.8,清洗洛托姆,30,2,M-B,M-3,rotom-wash,32,0,2
0,2,double,32,2.7,清洗洛托姆,30,3,M-B,M-3,rotom-wash,32,0,0
0,0,double,32,2.3,清洗洛托姆,30,4,M-B,M-3,rotom-wash,32,2,0
0,2,double,0,2.3,清洗洛托姆,30,5,M-B,M-3,rotom-wash,32,0,32
0,0,double,0,2.2,清洗洛托姆,30,6,M-B,M-3,rotom-wash,32,2,32
0,2,double,32,1.9,清洗洛托姆,30,7,M-B,M-3,rotom-wash,15,5,12
0,0,double,9,1.5,清洗洛托姆,30,8,M-B,M-3,rotom-wash,32,0,25
0,15,double,32,1.4,清洗洛托姆,30,9,M-B,M-3,rotom-wash,0,19,0
0,32,double,32,1.4,清洗洛托姆,30,10,M-B,M-3,rotom-wash,0,2,0
0,0,double,2,37.1,九尾（阿罗拉）,31,1,M-B,M-3,ninetales-alola,32,0,32
0,2,double,0,8.1,九尾（阿罗拉）,31,2,M-B,M-3,ninetales-alola,32,0,32
0,1,double,1,5.8,九尾（阿罗拉）,31,3,M-B,M-3,ninetales-alola,32,0,32
0,0,double,0,4.9,九尾（阿罗拉）,31,4,M-B,M-3,ninetales-alola,32,2,32
0,3,double,11,2.4,九尾（阿罗拉）,31,5,M-B,M-3,ninetales-alola,20,0,32
0,0,double,32,1.9,九尾（阿罗拉）,31,6,M-B,M-3,ninetales-alola,2,0,32
0,0,double,0,1.6,九尾（阿罗拉）,31,7,M-B,M-3,ninetales-alola,32,0,32
0,1,double,21,1.4,九尾（阿罗拉）,31,8,M-B,M-3,ninetales-alola,15,0,29
0,2,double,32,1.3,九尾（阿罗拉）,31,9,M-B,M-3,ninetales-alola,0,0,32
0,1,double,17,1.2,九尾（阿罗拉）,31,10,M-B,M-3,ninetales-alola,15,1,32
0,0,double,2,53.2,三首恶龙,32,1,M-B,M-3,hydreigon,32,0,32
0,0,double,4,8.4,三首恶龙,32,2,M-B,M-3,hydreigon,30,0,32
0,1,double,8,5.3,三首恶龙,32,3,M-B,M-3,hydreigon,25,0,32
0,0,double,0,3.4,三首恶龙,32,4,M-B,M-3,hydreigon,32,2,32
0,2,double,0,2.9,三首恶龙,32,5,M-B,M-3,hydreigon,32,0,32
0,0,double,8,2.0,三首恶龙,32,6,M-B,M-3,hydreigon,32,0,26
0,0,double,10,1.3,三首恶龙,32,7,M-B,M-3,hydreigon,32,0,24
0,0,double,0,1.2,三首恶龙,32,8,M-B,M-3,hydreigon,32,0,32
0,1,double,0,1.1,三首恶龙,32,9,M-B,M-3,hydreigon,32,1,32
0,3,double,4,0.9,三首恶龙,32,10,M-B,M-3,hydreigon,32,0,27
32,0,double,2,49.3,烈箭鹰,33,1,M-B,M-3,talonflame,0,0,32
32,2,double,0,7.0,烈箭鹰,33,2,M-B,M-3,talonflame,0,0,32
32,0,double,0,7.0,烈箭鹰,33,3,M-B,M-3,talonflame,0,2,32
32,0,double,7,3.6,烈箭鹰,33,4,M-B,M-3,talonflame,0,0,27
32,0,double,0,2.5,烈箭鹰,33,5,M-B,M-3,talonflame,0,0,32
32,1,double,1,2.0,烈箭鹰,33,6,M-B,M-3,talonflame,0,0,32
27,0,double,0,1.3,烈箭鹰,33,7,M-B,M-3,talonflame,21,0,18
